Training config | heldout=DTLZ7 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | ensemble_model=8 | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=20 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz7_set1_20260519_184751.txt
[Epoch 0001] start | set=1 | heldout=DTLZ7 | envs_active=24/24 | surrogate=tabpfn | ensemble_model=8 | sur_steps=20 | eps=0.300
[TabPFN sync] reset | gen=001/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.015 | gen_cycle_sec=2.884 | query_transform_sec=0.487 | batch_prepare_sec=0.567 | gpu_forward_sec=2.182 | postprocess_sec=0.086 | fallback_used=0 | fallback_reason=- | time_sec=2.867
[TabPFN sync] reset | gen=002/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.391 | query_transform_sec=0.469 | batch_prepare_sec=0.538 | gpu_forward_sec=1.722 | postprocess_sec=0.078 | fallback_used=0 | fallback_reason=- | time_sec=2.349
[TabPFN sync] reset | gen=003/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.043 | gen_cycle_sec=2.397 | query_transform_sec=0.468 | batch_prepare_sec=0.529 | gpu_forward_sec=1.721 | postprocess_sec=0.092 | fallback_used=0 | fallback_reason=- | time_sec=2.353
[TabPFN sync] reset | gen=004/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.401 | query_transform_sec=0.463 | batch_prepare_sec=0.537 | gpu_forward_sec=1.725 | postprocess_sec=0.088 | fallback_used=0 | fallback_reason=- | time_sec=2.360
[TabPFN sync] reset | gen=005/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.044 | gen_cycle_sec=2.416 | query_transform_sec=0.470 | batch_prepare_sec=0.543 | gpu_forward_sec=1.730 | postprocess_sec=0.089 | fallback_used=0 | fallback_reason=- | time_sec=2.371
[TabPFN sync] reset | gen=006/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.404 | query_transform_sec=0.472 | batch_prepare_sec=0.547 | gpu_forward_sec=1.719 | postprocess_sec=0.085 | fallback_used=0 | fallback_reason=- | time_sec=2.362
[TabPFN sync] reset | gen=007/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.387 | query_transform_sec=0.469 | batch_prepare_sec=0.523 | gpu_forward_sec=1.722 | postprocess_sec=0.087 | fallback_used=0 | fallback_reason=- | time_sec=2.344
[TabPFN sync] reset | gen=008/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.397 | query_transform_sec=0.475 | batch_prepare_sec=0.536 | gpu_forward_sec=1.722 | postprocess_sec=0.084 | fallback_used=0 | fallback_reason=- | time_sec=2.353
[TabPFN sync] reset | gen=009/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.394 | query_transform_sec=0.466 | batch_prepare_sec=0.531 | gpu_forward_sec=1.723 | postprocess_sec=0.088 | fallback_used=0 | fallback_reason=- | time_sec=2.353
[TabPFN sync] reset | gen=010/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.478 | query_transform_sec=0.467 | batch_prepare_sec=0.542 | gpu_forward_sec=1.798 | postprocess_sec=0.084 | fallback_used=0 | fallback_reason=- | time_sec=2.435
[TabPFN sync] reset | gen=011/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.478 | query_transform_sec=0.490 | batch_prepare_sec=0.567 | gpu_forward_sec=1.765 | postprocess_sec=0.095 | fallback_used=0 | fallback_reason=- | time_sec=2.438
[TabPFN sync] reset | gen=012/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.043 | gen_cycle_sec=2.458 | query_transform_sec=0.472 | batch_prepare_sec=0.554 | gpu_forward_sec=1.762 | postprocess_sec=0.086 | fallback_used=0 | fallback_reason=- | time_sec=2.414
