Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=5 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260518_164809.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=5 | eps=0.300
[TabPFN sync] step=002 | sigma | mode=std | envs=24 | points=444 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.206 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.224
[TabPFN sync] step=003 | gen=001/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.015 | gen_cycle_sec=0.376 | query_transform_sec=0.000 | batch_prepare_sec=0.010 | gpu_forward_sec=0.332 | postprocess_sec=0.015 | fallback_used=0 | fallback_reason=- | time_sec=0.360
[TabPFN sync] step=003 | gen=002/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.311 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.248 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.270
[TabPFN sync] step=003 | gen=003/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | gen_cycle_sec=0.309 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.248 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.267
[TabPFN sync] step=003 | gen=004/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.039 | gen_cycle_sec=0.316 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.248 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.276
[TabPFN sync] step=003 | gen=005/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.319 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.248 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.277
[TabPFN sync] step=003 | sigma | mode=std | envs=24 | points=439 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.225 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.246
[TabPFN sync] step=004 | gen=001/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.017 | gen_cycle_sec=0.430 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.382 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.411
[TabPFN sync] step=004 | gen=002/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | gen_cycle_sec=0.312 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.248 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.270
[TabPFN sync] step=004 | gen=003/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | gen_cycle_sec=0.322 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.251 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.279
[TabPFN sync] step=004 | gen=004/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.038 | gen_cycle_sec=0.310 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.248 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.270
[TabPFN sync] step=004 | gen=005/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.309 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.248 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.269
[TabPFN sync] step=004 | sigma | mode=std | envs=24 | points=423 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.209 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.232
[TabPFN sync] step=005 | gen=001/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.017 | gen_cycle_sec=0.533 | query_transform_sec=0.000 | batch_prepare_sec=0.014 | gpu_forward_sec=0.487 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.514
[TabPFN sync] step=005 | gen=002/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.039 | gen_cycle_sec=0.307 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.250 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.267
[TabPFN sync] step=005 | gen=003/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.039 | gen_cycle_sec=0.310 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.250 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.269
[TabPFN sync] step=005 | gen=004/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.039 | gen_cycle_sec=0.307 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.250 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.267
