Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=2 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260518_152033.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=2 | eps=0.300
[TabPFN sync] step=006 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.599 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.622
[TabPFN sync] step=006 | sigma | mode=std | envs=24 | points=192 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.108 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.132
[TabPFN sync] step=007 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.010 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.846 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.872
[TabPFN sync] step=007 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.613 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.634
[TabPFN sync] step=007 | sigma | mode=std | envs=24 | points=183 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.093 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.117
[TabPFN sync] step=008 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.017 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.798 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.826
[TabPFN sync] step=008 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.597 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.619
[TabPFN sync] step=008 | sigma | mode=std | envs=24 | points=177 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.014 | gpu_forward_sec=0.098 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.125
[TabPFN sync] step=009 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.018 | query_transform_sec=0.000 | batch_prepare_sec=0.009 | gpu_forward_sec=0.709 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.738
[TabPFN sync] step=009 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.589 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.610
[TabPFN sync] step=009 | sigma | mode=std | envs=24 | points=178 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.107 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.127
[TabPFN sync] step=010 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.013 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.804 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.830
[TabPFN sync] step=010 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | query_transform_sec=0.000 | batch_prepare_sec=0.014 | gpu_forward_sec=0.713 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.740
[TabPFN sync] step=010 | sigma | mode=std | envs=24 | points=177 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.127 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.149
[TabPFN sync] step=011 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.017 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.795 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.821
[TabPFN sync] step=011 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.042 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.728 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.749
[TabPFN sync] step=011 | sigma | mode=std | envs=24 | points=172 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.118 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.137
