Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=1 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260516_143924.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=1 | eps=0.300
[TabPFN sync] reset | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.090
[TabPFN sync] reset | sigma | mode=std | envs=24 | points=961 | dim=25 | objective_contexts=66 | time_sec=13.336
[TabPFN sync] step=001 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.723
[TabPFN sync] step=001 | sigma | mode=std | envs=24 | points=945 | dim=25 | objective_contexts=66 | time_sec=15.250
[TabPFN sync] step=002 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=12.457
[TabPFN sync] step=002 | sigma | mode=std | envs=24 | points=904 | dim=25 | objective_contexts=66 | time_sec=16.152
[TabPFN sync] step=003 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.167
[TabPFN sync] step=003 | sigma | mode=std | envs=24 | points=875 | dim=25 | objective_contexts=66 | time_sec=13.016
[TabPFN sync] step=004 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.684
[TabPFN sync] step=004 | sigma | mode=std | envs=24 | points=830 | dim=25 | objective_contexts=66 | time_sec=17.273
[TabPFN sync] step=005 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=12.575
[TabPFN sync] step=005 | sigma | mode=std | envs=24 | points=784 | dim=25 | objective_contexts=66 | time_sec=14.247
[TabPFN sync] step=006 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.598
[TabPFN sync] step=006 | sigma | mode=std | envs=24 | points=739 | dim=25 | objective_contexts=66 | time_sec=12.976
[TabPFN sync] step=007 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.057
[TabPFN sync] step=007 | sigma | mode=std | envs=24 | points=705 | dim=25 | objective_contexts=66 | time_sec=16.868
[TabPFN sync] step=008 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=12.440
[TabPFN sync] step=008 | sigma | mode=std | envs=24 | points=681 | dim=25 | objective_contexts=66 | time_sec=12.492
[TabPFN sync] step=009 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.022
[TabPFN sync] step=009 | sigma | mode=std | envs=24 | points=660 | dim=25 | objective_contexts=66 | time_sec=15.041
[TabPFN sync] step=010 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.456
[TabPFN sync] step=010 | sigma | mode=std | envs=24 | points=662 | dim=25 | objective_contexts=66 | time_sec=17.105
[TabPFN sync] step=011 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.550
[TabPFN sync] step=011 | sigma | mode=std | envs=24 | points=647 | dim=25 | objective_contexts=66 | time_sec=12.469
[TabPFN sync] step=012 | gen=001/001 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.206
