Training config | heldout=DTLZ7 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=30 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz7_set1_20260519_131716.txt
[Epoch 0001] start | set=1 | heldout=DTLZ7 | envs_active=24/24 | surrogate=tabpfn | sur_steps=30 | eps=0.300
[TabPFN sync] reset | gen=001/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.019 | gen_cycle_sec=2.815 | query_transform_sec=0.485 | batch_prepare_sec=0.569 | gpu_forward_sec=2.101 | postprocess_sec=0.095 | fallback_used=0 | fallback_reason=- | time_sec=2.795
[TabPFN sync] reset | gen=002/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.377 | query_transform_sec=0.455 | batch_prepare_sec=0.525 | gpu_forward_sec=1.715 | postprocess_sec=0.085 | fallback_used=0 | fallback_reason=- | time_sec=2.335
[TabPFN sync] reset | gen=003/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.340 | query_transform_sec=0.455 | batch_prepare_sec=0.507 | gpu_forward_sec=1.712 | postprocess_sec=0.068 | fallback_used=0 | fallback_reason=- | time_sec=2.297
[TabPFN sync] reset | gen=004/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.322 | query_transform_sec=0.449 | batch_prepare_sec=0.491 | gpu_forward_sec=1.714 | postprocess_sec=0.065 | fallback_used=0 | fallback_reason=- | time_sec=2.280
[TabPFN sync] reset | gen=005/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=2.319 | query_transform_sec=0.447 | batch_prepare_sec=0.489 | gpu_forward_sec=1.713 | postprocess_sec=0.068 | fallback_used=0 | fallback_reason=- | time_sec=2.280
[TabPFN sync] reset | gen=006/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=2.316 | query_transform_sec=0.448 | batch_prepare_sec=0.490 | gpu_forward_sec=1.713 | postprocess_sec=0.063 | fallback_used=0 | fallback_reason=- | time_sec=2.276
[TabPFN sync] reset | gen=007/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.338 | query_transform_sec=0.451 | batch_prepare_sec=0.501 | gpu_forward_sec=1.715 | postprocess_sec=0.070 | fallback_used=0 | fallback_reason=- | time_sec=2.297
[TabPFN sync] reset | gen=008/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.334 | query_transform_sec=0.451 | batch_prepare_sec=0.500 | gpu_forward_sec=1.713 | postprocess_sec=0.068 | fallback_used=0 | fallback_reason=- | time_sec=2.292
[TabPFN sync] reset | gen=009/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=2.325 | query_transform_sec=0.452 | batch_prepare_sec=0.497 | gpu_forward_sec=1.714 | postprocess_sec=0.064 | fallback_used=0 | fallback_reason=- | time_sec=2.285
[TabPFN sync] reset | gen=010/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.316 | query_transform_sec=0.442 | batch_prepare_sec=0.486 | gpu_forward_sec=1.714 | postprocess_sec=0.066 | fallback_used=0 | fallback_reason=- | time_sec=2.275
[TabPFN sync] reset | gen=011/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.037 | gen_cycle_sec=2.325 | query_transform_sec=0.449 | batch_prepare_sec=0.496 | gpu_forward_sec=1.715 | postprocess_sec=0.065 | fallback_used=0 | fallback_reason=- | time_sec=2.287
