Training config | heldout=DTLZ3 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | ensemble_model=8 | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=20 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=0.9900 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz3_set1_20260520_002931.txt
[Epoch 0001] start | set=1 | heldout=DTLZ3 | envs_active=24/24 | surrogate=tabpfn | ensemble_model=8 | sur_steps=20 | eps=0.300
[TabPFN sync] reset | gen=018/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.403 | query_transform_sec=0.475 | batch_prepare_sec=0.527 | gpu_forward_sec=1.746 | postprocess_sec=0.076 | fallback_used=0 | fallback_reason=- | time_sec=2.362
[TabPFN sync] reset | gen=019/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.387 | query_transform_sec=0.464 | batch_prepare_sec=0.521 | gpu_forward_sec=1.735 | postprocess_sec=0.076 | fallback_used=0 | fallback_reason=- | time_sec=2.344
[TabPFN sync] reset | gen=020/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.466 | query_transform_sec=0.493 | batch_prepare_sec=0.552 | gpu_forward_sec=1.769 | postprocess_sec=0.090 | fallback_used=0 | fallback_reason=- | time_sec=2.424
[TabPFN sync] reset | sigma | mode=std | envs=24 | points=1563 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.481 | batch_prepare_sec=0.529 | gpu_forward_sec=1.761 | postprocess_sec=0.066 | fallback_used=0 | fallback_reason=- | time_sec=2.368
[DISC sync] step=001 | envs=24 | agent_forward_sec=0.321
[ENV sync] step=001 | envs=24 | surrogate_refit_sec=12.731 | tabpfn_refit_sec=12.731 | post_action_total_sec=13.218
[TabPFN sync] step=001 | gen=001/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.012 | gen_cycle_sec=2.583 | query_transform_sec=0.486 | batch_prepare_sec=0.530 | gpu_forward_sec=1.959 | postprocess_sec=0.068 | fallback_used=0 | fallback_reason=- | time_sec=2.570
[TabPFN sync] step=001 | gen=002/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.502 | query_transform_sec=0.506 | batch_prepare_sec=0.551 | gpu_forward_sec=1.828 | postprocess_sec=0.068 | fallback_used=0 | fallback_reason=- | time_sec=2.460
[TabPFN sync] step=001 | gen=003/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.515 | query_transform_sec=0.518 | batch_prepare_sec=0.562 | gpu_forward_sec=1.830 | postprocess_sec=0.070 | fallback_used=0 | fallback_reason=- | time_sec=2.474
[TabPFN sync] step=001 | gen=004/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.043 | gen_cycle_sec=2.394 | query_transform_sec=0.488 | batch_prepare_sec=0.530 | gpu_forward_sec=1.740 | postprocess_sec=0.067 | fallback_used=0 | fallback_reason=- | time_sec=2.350
[TabPFN sync] step=001 | gen=005/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.432 | query_transform_sec=0.492 | batch_prepare_sec=0.537 | gpu_forward_sec=1.771 | postprocess_sec=0.068 | fallback_used=0 | fallback_reason=- | time_sec=2.390
[TabPFN sync] step=001 | gen=006/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.043 | gen_cycle_sec=2.403 | query_transform_sec=0.487 | batch_prepare_sec=0.531 | gpu_forward_sec=1.744 | postprocess_sec=0.072 | fallback_used=0 | fallback_reason=- | time_sec=2.360
